stringsfile version 1
585
str_no_string NO_STRING!
str_credits_9 Tutorial_written_by:^Steve_Negus^Armagan_Yavuz^Edward_Spoerl^^^Horse_Motion_Capture_Animation_Supplied_by:^Richard_Widgery_&_Kinetic_Impulse^^^Physics:^Havok^^^Sound_and_Music_Program_Library:^FMODex_Sound_System_by_Firelight_Technologies^^^Skybox_Textures:^Jay_Weston^^^Chinese_Translation:^Hetairoi;_Gaodatailang;_silentjealousy;_Ginn;_fallout13;_James;_D.Kaede;_Kan2;_alixyang;_muyiboy^^^TaleWorlds_Director_of_Communications:^Ali_Erkin_^^^TaleWorlds_Forum_Programming:^Brett_Flannigan_^^^TaleWorlds.com_Forum_Administrators_and_Moderators:^Janus^Archonsod^Narcissus^Nairagorn^Lost_Lamb^Deus_Ex^Merentha^Volkier^Instag0^Ativan^ego^Guspav^Hallequin^Invictus^okiN^Raz^rejenorst^Skyrage^ThVaz^^^Mount&Blade_Community_Suggestions_and_Feedback:^A_Mustang^adamlug^Adorno^alden^Alhanalem^amade^Anthallas^Alkhadias_Master^Arch3r^Archevious^Arcas_Nebun^Arcon^Arcturus^ares007^Arjihad^BadabombadaBang^Badun^BaronAsh^Berserker_Pride^bgfan^bierdopjeee^Big_Mac^Binboy^blink180heights^BlodsHammar^Bloid^Brandon^Brego^chenjielian^cifre^COGlory^Corinthian_Hoplite^Crazed_Rabbit^CryptoCactus^CtrlAltDe1337^Cuther^Da-V-Man^dimitrischris^dstemmer^EasyCo506^Egbert^ethneldryt^eudaimondaimon^Faranox^Fawzia_dokhtar-i-Sanjar^Fei_Dao^Gabeed^GeN76^General_Hospital^GhosTR^glustrod^Gubbo^guspav^Halcyon^Harn^Hethwill^Highelfwarrior^HULKSMASH^Iberon^ignoble^Jack_Merchantson^JoG^Jov^Kazzan^King_Jonathan_the_Great^Kleidophoros^knight^Kong_Burger^Kristiania^l3asu^Larkraxm^Leandro1021DX^lighthaze^Llew2^Lord_Rich^lordum_ediz^Lucke189^Mabons^MacPharlan^Madnes5^MagicMaster^Makh^ManiK^Manitas^Marin_Peace_Bringer^Martinet^MAXHARDMAN^Merlkir^miguel8500^Mithras^Moddan^Nate^Nemeo^Nite/m4re^noobalicous^Nord_Champion^okiN^Orion^OTuphlos^Papa_Lazarou^Phallas^Plazek^Prcin^PSYCHO78^PsykoOps^Reapy^Red_River^Rhizobium^Riggea^Rongar^Ros^sadnhappy^Sarejo^ScientiaExcelsa^Scorch!^Seawied86^sebal87^shikamaru_1993^Shun^silentdawn^Sir_Gowe^Skyrage^Slawomir_of_Aaarrghh^SoloSebo^SovietSoldier^Stabbing_Hobo^Stratigos001^Styo^TalonAquila^test^The_Yogi^Thundertrod^Thyr^Tim^Titanshoe^tmos^Toffey^Tonttu^Trenalok^Tronde^UberWiggett^Urist^Ursca^urtzi^Vermin^Viajero^Vincenzo^Vulkan^Warcat92^Welcome_To_Hell^Wheem^Wu-long^Yellonet^Yobbo^Yoshi_Murasaki^Yoshiboy^Zyconnic^^^Special_Thanks_to_Toby_Lee_for_his_ideas_and_in_depth_feedback_on_the_combat_system.^...and_many_many_other_wonderful_Mount&Blade_players!^^(This_is_only_a_small_sample_of_all_the_players_who_have_contributed_to_the_game_by_providing_suggestions_and_feedback.^This_list_has_been_compiled_by_sampling_only_a_few_threads_in_the_Taleworlds_Forums.^Unfortunately_compiling_an_exhaustive_list_is_almost_impossible.^We_apologize_sincerely_if_you_contributed_your_suggestions_and_feedback_but_were_not_listed_here,_and_please_know_that_we_are_grateful_to_you_all_the_same...)
str_credits_10 Paradox_Interactive^^President_and_CEO:^Theodore_Bergqvist^^Executive_Vice_President:^Fredrik_Wester^^Chief_Financial_Officer:^Lena_Eriksson^^Finance_&_Accounting:^Annlouise_Larsson^^VP_Sales_&_Marketing_US:^Reena_M._Miranda^^VP_Sales_&_Marketing_EU:^Martin_Sirc^^Distribution_Manager_Nordic:^Erik_Helmfridsson^^Director_of_PR_&_Marketing:^Susana_Meza^^PR_&_Marketing:^Sofia_Forsgren^^Product_Manager:^Boel_Bermann
str_credits_11 Logotype:^Jason_Brown^^Cover_Art:^Piotr_Fox_Wysocki^^Layout:^Christian_Sabe^Melina_Grundel^^Poster:^Piotr_Fox_Wysocki^^Map_&_Concept_Art:^Ganbat_Badamkhand^^Manual_Editing:^Digital_Wordsmithing:_Ryan_Newman,_Nick_Stewart^^Web:^Martin_Ericsson^^Marketing_Assets:^2Coats^^Localization:^S&H_Entertainment_Localization^^GamersGate:^Ulf_Hedblom^Andreas_Pousette^Martin_Ericson^Christoffer_Lindberg
str_credits_12 Thanks_to_all_of_our_partners_worldwide,_in_particular_long-term_partners:^Koch_Media_(Germany_&_UK)^Blue_Label_(Italy_&_France)^Friendware_(Spain)^New_Era_Interactive_Media_Co._Ltd._(Asia)^Snowball_(Russia)^Pinnacle_(UK)^Porto_Editora_(Portugal)^Hell-Tech_(Greece)^CD_Projekt_(Poland,_Czech_Republic,_Slovakia_&_Hungary)^Paradox_Scandinavian_Distribution_(Scandinavia)
str_profile_banner_selection_text Choose_a_banner_for_your_profile:
str_use_default_banner Use_Faction's_Banner
str_game_type_1 Conquest
str_game_type_2 Quick_Battle
str_game_type_3 No_Money
str_game_type_4 Feudalism
str_game_type_5 Permanent_Death
str_game_types_end game_types_end
str_fac_1_default_name Red_Faction
str_fac_2_default_name White_Faction
str_fac_3_default_name Blue_Faction
str_fac_4_default_name Green_Faction
str_fac_5_default_name Yellow_Faction
str_fac_6_default_name Purple_Faction
str_fac_7_default_name Orange_Faction
str_fac_8_default_name Black_Faction
str_leave_edit_mode Leave_scene_editing_mode?
str_distance_reg1_sq_distance_reg2 Distance:_{reg1},_sq_distance:_{reg2}.
str_choose_faction_banner Choose_the_banner_for_your_faction:
str_keep_current_banner Keep_the_current_banner
str_next Next
str_previous Previous
str_spectate Spectate
str_join_game Join_Game
str_choose_an_option Choose_an_option:
str_choose_an_option_targeting_s1 Choose_an_option,_targeting:_{s1}
str_change_options Change_Options
str_change_controls Change_Controls
str_show_rules Show_Game_Rules
str_show_info Show_Game_Information
str_admin_panel Administrator_Panel
str_admin_tools Administrator_Tools
str_admin_items Administrator_Items
str_kick_player Kick_a_player
str_ban_player_temp Ban_a_player_temporarily
str_ban_player_perm Ban_a_player_permanently
str_mute_player Mute_/_unmute_a_player
str_kill_player Kill_a_player
str_fade_player_out Fade_a_player_out
str_freeze_player Freeze_/_thaw_a_player
str_teleport_to_player Teleport_to_a_player
str_teleport_behind_player Teleport_behind_a_player
str_teleport_forwards Teleport_forwards
str_equip_admin_armor Equip_admin_armor
str_become_invisible Become_invisible
str_refill_health Refill_health
str_become_godlike Become_godlike
str_spawn_admin_horse Spawn_admin_horse
str_remove_admin_horses Remove_admin_horses
str_remove_stray_horses Remove_stray_horses
str_teleport_to_ships Teleport_to_ships
str_reset_sunken_ships Reset_sunken_ships
str_lock_current_faction Lock_current_faction
str_unlock_current_faction Unlock_current_faction
str_quit Quit
str_choose_a_player_to_s0 Choose_a_player_to_{s0}:
str_kick kick
str_ban_temp ban_temporarily
str_ban_perm ban_permanently
str_mute mute_/_unmute
str_kill kill
str_fade_out fade_out
str_freeze freeze_/_thaw
str_teleport_to teleport_to
str_teleport_behind teleport_behind
str_propose_as_lord propose_as_lord
str_send_message_to send_the_message_to
str_give_take_door_key give_/_take_away_door_key
str_give_take_money_chest_key give_/_take_away_money_chest_key
str_give_take_item_chest_key give_/_take_away_item_chest_key
str_allow_disallow_announcing allow_/_disallow_announcing_for
str_outlaw outlaw
str_request_poll Request_Poll
str_choose_a_poll_type Choose_a_poll_type:
str_s0__reg0_ {!}{s0}_({reg0})
str_choose_poll_scene Change_the_scene
str_choose_poll_kick Kick_a_player
str_choose_poll_ban Ban_a_player
str_choose_poll_faction_lord Change_your_faction's_lord
str_choose_a_scene Choose_a_scene:
str_faction_admin Faction_Administration
str_change_faction_banner Change_faction_banner
str_change_faction_name Change_faction_name
str_kick_player_from_faction Kick_player_from_faction
str_outlaw_player Outlaw_player
str_manage_door_keys Manage_door_keys
str_manage_money_chest_keys Manage_money_chest_keys
str_manage_item_chest_keys Manage_item_chest_keys
str_manage_announcers Manage_announcers
str_choose_a_faction Choose_a_faction:
str_declare_faction_hostile Declare_a_faction_hostile
str_offer_faction_peace Offer_a_faction_peace
str_log_admin_target_player Admin_{s0}_({reg0})_{s3}_player_{s1}_({reg1}).
str_log_admin_target_self Admin_{s0}_({reg0})_{s3}.
str_log_admin_kick kicked
str_log_admin_ban_temp temporarily_banned
str_log_admin_ban_perm permanently_banned
str_log_admin_mute muted_/_unmuted
str_log_admin_kill killed
str_log_admin_fade_out faded_out
str_log_admin_freeze froze_/_thawed
str_log_admin_teleport_to teleported_to
str_log_admin_teleport_behind teleported_behind
str_log_admin_teleport_forwards teleported_forwards
str_log_admin_get_armor equipped_admin_armor
str_log_admin_get_invisible became_invisible
str_log_admin_refill_health refilled_health
str_log_admin_become_godlike became_godlike
str_log_admin_get_horse spawned_an_admin_horse
str_log_admin_remove_horses removed_admin_horses
str_log_admin_remove_stray_horses removed_stray_horses
str_log_admin_teleport_to_ships teleported_to_the_next_ship
str_log_admin_reset_ships reset_sunken_ships
str_log_admin_lock_faction {s4}locked_faction_{s5}
str_log_admin_cheat_money took_{reg0}_gold
str_log_admin_cheat_item took_item_'{s4}'
str_poll_change_scene Change_scene_to_{s1}
str_poll_kick_player Kick_player_{s1}
str_poll_ban_player Ban_player_{s1}
str_poll_faction_lord Make_{s1}_the_lord_of_{s2}
str_poll_log Player_{s3}_started_a_poll:_{s0}
str_poll_existing Another_poll_is_already_in_progress.
str_poll_invalid Invalid_poll.
str_poll_result_no The_poll_was_rejected.
str_poll_result_yes The_poll_was_accepted.
str_poll_result_admin_no The_poll_was_rejected_by_an_administrator.
str_poll_result_admin_yes The_poll_was_accepted_by_an_administrator.
str_poll_requester_keys Called_by:_{s1}_-_yes:_F9,_no:_F8,_abstain:_F7
str_poll_time_left ({reg0}_seconds_left)
str_departed_player <departed_player>
str_set_s0 Set_{s0}
str_s0_reg1 {!}{s0}_{reg1}
str_invalid_respawn_period Invalid_respawn_period.
str_invalid_max_players Invalid_maximum_players_value.
str_invalid_scene Invalid_scene.
str_command_not_implemented Command_is_not_implemented.
str_bot_count Random_testing_bots:
str_round_max_seconds Seconds_before_removing_spawned_items:
str_respawn_period Respawn_period_(seconds):
str_num_bots_voteable Maximum_herd_animals:
str_scenes_voteable Allow_polls_to_change_scene:
str_factions_voteable factions_voteable:
str_player_respawn_as_bot player_respawn_as_bot:
str_kick_voteable Allow_polls_to_kick_players:
str_ban_voteable Allow_polls_to_ban_players:
str_valid_vote_ratio Poll_accept_threshold_(%):
str_auto_team_balance_limit auto_team_balance_limit:
str_starting_gold Starting_gold_(%):
str_combat_gold_bonus Combat_gold_bonus_(%):
str_round_gold_bonus round_gold_bonus:
str_player_banners_allowed player_banners_allowed:
str_force_default_armor Weather:
str_team_points_gained_for_flags team_points_gained_for_flags:
str_points_gained_for_capturing_flags points_gained_for_capturing_flags:
str_game_time_limit Game_time_limit_(minutes):
str_team_point_limit Victory_condition_time_(minutes):
str_defender_spawn_count defender_spawn_count:
str_disallow_ranged_weapons Admin_gold_disabled:
str_use_class_limits use_class_limits
str_class_limit_player_count class_limit_player_count
str_squad_size squad_size
str_scale_squad Initial_stockpile_multiplier:
str_build_points_team1 build_points_team1
str_build_points_team2 build_points_team2
str_allow_multiple_firearms allow_multiple_firearms
str_enable_bonuses enable_bonuses
str_bonus_strength bonus_strength
str_bonus_range bonus_range
str_fall_off_horse fall_off_horse
str_horse_dying horse_dying
str_auto_kick auto_kick
str_max_teamkills_before_kick max_teamkills_before_kick
str_auto_horse auto_horse
str_auto_swap auto_swap
str_limit_grenadier limit_grenadier
str_limit_skirmisher limit_skirmisher
str_limit_rifle limit_rifle
str_limit_cavalry limit_cavalry
str_limit_lancer limit_lancer
str_limit_hussar limit_hussar
str_limit_dragoon limit_dragoon
str_limit_cuirassier limit_cuirassier
str_limit_heavycav limit_heavycav
str_limit_artillery limit_artillery
str_limit_rocket limit_rocket
str_limit_sapper limit_sapper
str_limit_musician limit_musician
str_limit_sergeant limit_sergeant
str_limit_officer limit_officer
str_limit_general limit_general
str_max_players Maximum_number_of_players:
str_friendly_fire friendly_fire:
str_melee_friendly_fire melee_friendly_fire:
str_friendly_fire_damage_self_ratio friendly_fire_damage_self_ratio:
str_friendly_fire_damage_friend_ratio friendly_fire_damage_friend_ratio:
str_ghost_mode Spectator_camera:
str_control_block_direction Control_block_direction:
str_combat_speed Combat_speed:
str_add_to_game_servers_list Add_to_official_game_servers_list:
str_anti_cheat Enable_Valve_Anti-cheat_(Requires_valid_Steam_account):
str_combat_speed_0 Slowest
str_combat_speed_1 Slower
str_combat_speed_2 Medium
str_combat_speed_3 Faster
str_combat_speed_4 Fastest
str_automatic Automatic
str_by_mouse_movement By_mouse_movement
str_free Free
str_stick_to_any_player Lock_to_any_player
str_stick_to_team_members Lock_to_team_members
str_stick_to_team_members_view Lock_to_team_members'_view
str_game_rules Game_rules:^
str_s0_reg0 {!}{s0}_{reg0}
str_s0_s1 {!}{s0}_{s1}
str_s2_s3 {!}{s2}^{s3}
str_s0__s1 {!}{s0},_{s1}
str_scene_name Scene_name:
str_server_name Server_name:
str_game_password Game_password:
str_welcome_message Welcome_message:
str_game_type Game_type:
str_scene Scene:
str_start_scene Start_scene
str_edit_scene Edit_scene
str_zero 0
str_remaining_time_reg0_s0reg1_s1reg2 Remaining_time:_{reg0}:{s0}{reg1}:{s1}{reg2}
str_respawning_in_reg0_seconds Respawning_in_{reg0}_seconds
str_press_select_spawn_point Press_1-5_to_select_spawn_point
str_press_select_spawn_area Press_~_to_change:_{s1}
str_restart_as_peasant_commoner restart_as_a_peasant_commoner
str_number_of_factions_reg0 Number_of_factions:_{reg0}
str_victory_condition_none No_victory_condition
str_victory_condition_castles Victory:_hold_all_castles_for_{reg0}_minutes
str_respawn_with_partial_health Respawn_with_partial_health
str_respawn_with_full_health Respawn_with_full_health
str_herd_animal_limit_reg0 Herd_animal_limit:_{reg0}
str_always_fine Always_fine
str_always_raining Always_raining
str_dynamic Dynamic
str_player_name Player_Name
str_class Class
str_kills Kills
str_deaths Deaths
str_ping Ping
str_score Score
str_score_reg0 Score:_{reg0}
str_all_players All_Players
str_reg0_players {reg0}_players
str_reg0_player {reg0}_player
str_reg0_players_of_reg1 {reg0}_players_of_{reg1}
str_reg0_player_of_reg1 {reg0}_player_of_{reg1}
str_reg0 {!}{reg0}
str_s0 {!}{s0}
str_enable_s0 Enable_{s0}
str_disable_s0 Disable_{s0}
str_un un
str_toggle_name_labels Toggle_name_labels
str_toggle_faction_in_name_labels Toggle_faction_in_name_labels
str_toggle_chat_overlay Toggle_chat_overlay
str_toggle_local_faction_chat Toggle_local_or_faction_chat
str_attach_cart_pack Attach_nearby_cart_/_pack
str_detach_cart_pack Detach_cart_/_pack
str_toggle_head Toggle_head_armor
str_discard_body Discard_body_armor
str_discard_foot Discard_foot_armor
str_toggle_hand Toggle_hand_armor
str_reveal_money_pouch_to_target Reveal_money_pouch_to_target
str_toggle_clickable_animation_menu Toggle_clickable_animation_menu
str_toggle_muting_global_chat Toggle_muting_global_chat
str_action_menu_end action_menu_end
str_s0_are_you_sure {s0}_-_are_you_sure?
str_confirmation confirmation
str_display_name_labels Display_name_labels
str_hide_faction_in_name_labels Hide_faction_in_name_labels
str_display_chat_overlay Display_chat_overlay
str_overlay_shows_faction_chat Overlay_shows_faction_chat_instead_of_local
str_disable_automatic_shadow_recalculation Disable_automatic_shadow_recalculation
str_mute_global_chat Mute_global_chat
str_non_clickable_animation_menu Non-clickable_animation_menu
str_disable_rain_snow_particles Disable_rain_and_snow_particles
str_reg0__s0 {!}{reg0}._{s0}
str_menu_guestures Guestures
str_menu_neutral Neutral
str_menu_hostile Hostile
str_menu_robbery Robbery
str_anim_cheer Cheer
str_anim_clap Clap
str_anim_raise_sword Raise_sword
str_anim_hands_on_hips Hands_on_hips
str_anim_arms_crossed Arms_crossed
str_anim_stand_still Stand_still
str_anim_away_vile_beggar Away_with_you,_vile_beggar
str_anim_my_lord My_lord
str_anim_almost_harvesting_season It's_almost_harvesting_season
str_anim_whats_this_then What's_this_then,_eh?
str_anim_out_for_a_stroll_are_we Out_for_a_stroll,_are_we?
str_anim_we_ride_to_war We_ride_to_war
str_anim_less_talking_more_raiding Less_talking,_more_raiding
str_anim_you_there_stop You_there,_stop!
str_anim_war_cry War_cry
str_anim_tear_you_limb_from_limb I'll_tear_you_limb_from_limb
str_anim_better_not_be_a_manhunter You_better_not_be_a_manhunter
str_anim_drink_from_your_skull I_will_drink_from_your_skull
str_anim_gods_will_decide_your_fate Today_the_gods_will_decide_your_fate
str_anim_nice_head_on_shoulders That's_a_nice_head_you_have_on_your_shoulders
str_anim_hunt_you_down We'll_hunt_you_down
str_anim_dead_men_tell_no_tales Dead_men_tell_no_tales
str_anim_stand_and_deliver Stand_and_deliver!
str_anim_your_money_or_your_life Your_money_or_your_life!
str_anim_have_our_pay_or_fun We'll_have_our_pay,_or_we'll_have_our_fun
str_anim_word_about_purse_belongings My_men_would_like_a_word_with_you_about_your_purse
str_anim_easy_way_or_hard_way We_can_do_this_the_easy_way,_or_the_hard_way
str_anim_everything_has_a_price Everything_has_a_price,_even_your_life
str_anim_slit_your_throat I'd_slit_your_throat_for_a_trinket
str_log_animation *ANIMATION*_[{s1}]_{s0}
str_done Done
str_use Use
str_buy Buy
str_buy_sell Buy_/_Sell
str_buy_sell_craft Buy_/_Sell_/_Craft
str_take Take
str_take_put_craft Take_/_Put_/_Craft
str_dont_have_enough_money You_don't_have_enough_money.
str_cant_equip_item You_can't_equip_this_item.
str_collect_reg1_gold Collect_{reg1}_gold
str_rest Rest
str_rest_horse Rest_horse
str_winch_lower Lower
str_winch_raise Raise
str_winch_drop Drop
str_destructible Destructible
str_cut_down Cut_down
str_mine Mine
str_harvest Harvest
str_prune Prune
str_burn Burn
str_destroy_s1 Destroy_{s1}
str_destroy_all_items_cart Destroy_all_items_in_cart
str_process_wood Process_wood
str_process_metal Smelt_metal
str_process_hammer_metal Hammer_metal
str_process_grind Grind
str_process_cook Cook
str_process_press Press
str_process_brew Brew
str_process_tavern Serve
str_process_preserve Preserve
str_process_spin Spin
str_process_weave Weave
str_process_cut Cut
str_process_leather Tan_leather
str_stockpile Stockpile
str_stockpile_nearly_full Stockpile_is_nearly_full
str_stockpile_full Stockpile_is_full
str_export Export
str_export_for_s1 Export_for_{s1}
str_import Import
str_build Build
str_access Access
str_attach Attach
str_not_close_enough Not_close_enough
str_s0__s1_ {!}{s0}_({s1})
str_drop_money_bag Drop_money_bag
str_deposit_money_chest Deposit_in_money_chest
str_withdraw_money_chest Withdraw_from_money_chest
str_admin_cheat_money Give_yourself_money_(Admin)
str_no_money_chest_nearby No_money_chests_nearby.
str_cant_open_money_chest You_can't_open_the_money_chest.
str_not_enough_money_in_chest Not_enough_money_in_the_chest.
str_gold_reg2 Gold:_{reg2}
str_buy_banner_faction Buy_a_banner_for_the_{s1}
str_stock_count_reg0 Stock_count:_{reg0}
str_crafting_refund_reg0_reward_reg1 Crafting_refund:_{reg0}_reward:_{reg1}
str_crafting_reward_reg1 Crafting_reward:_{reg1}
str_selling_price_reg0 Selling_price:_{reg0}
str_womens_clothes Women's_clothes
str_item_id Item_ID:
str_spawn_s1 Spawn_{s1}
str_troop_not_available Not_available_to_you^{s0}
str_troop_train Train_to_be_{s1}_for_the_{s2}
str_troop_assume_role Assume_the_role_of_{s1}_of_the_{s2}
str_troop_become Become_{s1}_with_the_{s2}
str_troop_become_for Become_{s1}_for_the_{s2}
str_troop_cost {s0}^Cost:_{reg10}
str_troop_strength_agility {s0}^Strength:_{reg10}^Agility:_{reg11}
str_troop_weapon_proficiencies {s0}^One_handed:_{reg10}^Two_Handed:_{reg11}^Polearms:_{reg12}^Archery:_{reg13}^Crossbows:_{reg14}^Throwing:_{reg15}
str_requires_strength_reg1 Requires_strength:_{reg1}
str_requires_power_draw_reg1 Requires_power_draw:_{reg1}
str_requires_power_throw_reg1 Requires_power_throw:_{reg1}
str_requires_shield_reg1 Requires_shield:_{reg1}
str_requires_riding_reg1 Requires_riding:_{reg1}
str_damage_reg1_speed_reg2 Damage:_{reg1}%_Speed_{reg2}%
str_accuracy_reg1_reload_reg2 Accuracy:_{reg1}%_Reload:_{reg2}%
str_joined_the_s1 You_have_joined_the_{s1}.
str_s0_joined_the_s1 {s0}_joined_the_{s1}.
str_must_leave_s1_first You_must_leave_the_{s1}_first.
str_not_a_member_of_s1 You_are_not_a_member_of_the_{s1}.
str_s1_captured_s2 The_{s1}_have_captured_{s2}!
str_your_faction_not_hostile_to_s1 Your_faction_is_not_hostile_to_the_{s1}.
str_your_faction_not_captured_required_points Your_faction_has_not_captured_the_required_secondary_points.
str_door_locked_by_s1 The_door_is_locked_by_the_{s1}.
str_door_bolted The_door_is_bolted_on_the_other_side.
str_chest_locked_by_s1 This_chest_is_locked_by_the_{s1}.
str_s0_killed_faction_member {s0}_killed_a_member_of_the_same_faction!
str_s0_killed_friendly_faction_member {s0}_killed_a_member_of_a_friendly_faction!
str_s0_has_been_outlawed {s0}_has_been_outlawed!
str_you_have_been_outlawed You_have_been_outlawed!
str_your_outlaw_rating_now_reg1 Your_outlaw_rating_is_now_{reg1}.
str_scene_error_this_faction_is_not_active Scene_error:_this_faction_is_not_active!
str_you_are_not_lord_of_s1 You_are_not_the_lord_of_the_{s1}.
str_you_are_now_lord_of_s1 You_are_now_the_lord_of_the_{s1}.
str_s10_now_lord_of_s1 {s10}_is_now_the_lord_of_the_{s1}.
str_s10_now_known_as_s1 The_{s10}_are_now_known_as_the_{s1}.
str_banner_used_by_s1 That_banner_is_used_by_the_{s1}.
str_s1_doesnt_need_merc The_{s1}_doesn't_need_mercenaries.
str_s1_reign_supreme The_{s1}_reign_supreme!
str_s1_now_hostile_towards_s10 The_{s1}_are_now_hostile_towards_the_{s10}.
str_s1_and_s10_made_peace The_{s1}_and_the_{s10}_have_made_peace.
str_lord_of_s1_withdraws_offer_of_peace The_lord_of_the_{s1}_withdraws_the_offer_of_peace.
str_lord_of_s1_offers_peace The_lord_of_the_{s1}_offers_peace.
str_not_riding_necessary_horse You_are_not_riding_the_necessary_horse.
str_already_attached_cart Already_attached_to_another_cart.
str_resource_required More_resources_required.
str_not_at_mast_or_rudder You_are_not_close_enough_to_the_mast_or_rudder.
str_craft_not_skilled You_don't_seem_to_be_skilled_enough.
str_craft_wrong_resources You_don't_seem_to_have_the_right_resources.
str_no_horse You_have_no_horse.
str_too_wounded_to_rest Too_wounded_to_rest_here.
str_too_hungry_to_rest Too_hungry_to_rest_here.
str_horse_too_wounded_to_sell Your_horse_is_too_wounded_to_sell.
str_dismount_to_sell Dismount_to_sell_your_horse.
str_item_too_long_for_container That_item_is_too_long_to_fit_inside_the_container.
str_cant_put_money_bag_in_container You_can't_put_money_bags_inside_containers.
str_too_far_away_loot Too_far_away_to_loot.
str_herd_animal_limit_reached Herd_animal_limit_reached.
str_s1_reveals_money_pouch_containing_about_reg1 {s1}_reveals_a_money_pouch_containing_about_{reg1}_coins.
str_you_reveal_money_pouch_to_s1 You_reveal_your_money_pouch_to_{s1}.
str_s1_revealed_money_pouch_containing_reg1_to_s2 {s1}_revealed_a_money_pouch_containing_about_{reg1}_coins_to_{s2}.
str_your_target_too_far_away Your_target_is_too_far_away.
str_no_target_selected No_target_selected.
str_chat_format [{s1}]_{s0}
str_send_message_to_players_nearby Send_message_to_players_nearby:
str_send_message_to_the_s11 Send_message_to_the_{s11}:
str_change_name_of_your_faction Change_the_name_of_your_faction:
str_send_admin_message Send_administrator_message:
str_send_admin_message_to_s1 Send_administrator_message_to_{s1}:
str_admin_chat_format *ADMIN*_[{s1}]_{s0}
str_admin_chat_player_format *PLAYER*_[{s1}]_{s0}
str_admin_chat_to_player_format *ADMIN*_[{s1}]_>_[{s2}]_{s0}
str_admin_announcement_format *ANNOUNCEMENT*_[{s1}]_{s0}
str_local_chat_log_format *LOCAL*_{s0}
str_faction_chat_log_format *FACTION*_{s2}_{s0}
str_error_unable_to_find_link_scene_prop Unable_to_find_link_for_scene_prop_-_instance:_{reg10}_kind:_{reg11}_link_kind:_{reg12}_link_id:_{reg13}
str_error_unlinked_scene_prop Unlinked_scene_prop_instance:_{reg10}_kind:_{reg11}_link_id:_{reg12}_-_only_valid_if_this_prop_has_not_been_added_since_loading_the_scene.
str_error_edit_mode_not_enabled Edit_mode_is_not_enabled_in_the_Warband_launcher:_you_will_not_be_able_to_edit_this_scene.
str_no_more_unlinked_scene_props No_more_unlinked_scene_props.
str_error_scene_prop_0_pw Error:_scene_prop_instance_id_0_(kind_{reg0})_is_scripted_(pw),_so_it_might_not_work_correctly.
str_error_load_out_id_reg0_not_defined Error:_the_inventory_load_out_id_{reg0}_is_not_defined.
str_game_type_1_info This_is_the_basic_original_game_type:_resources_can_be_gathered_to_sell_or_to_craft_items_like_weapons,_for_helping_your_faction_prosper_and_conquer.
str_game_type_2_info Stock_piles_and_crafting_are_disabled,_so_unlimited_items_can_be_bought_without_requiring_the_support_of_resource_gathering_or_crafting.
str_game_type_3_info The_concept_of_money_has_been_removed_from_this_game_type,_so_resource_gathering_and_crafting_are_the_only_things_required_to_obtain_items.
str_game_type_4_info Exporting_resources_only_transfers_money_to_the_castle_chest,_with_no_personal_reward,_and_resource_stockpiles_have_no_cost_for_buying_or_selling.
str_game_type_5_info After_dying_or_disconnecting,_you_will_be_reset_to_a_peasant_commoner_with_no_money.
